OBJECTID,ABBREV,PERIOD,EPOCH,FORMATION,GROUP_,TOT_THICK_M,COLOR,LITH1,LITH2,LITH3,LITH4,GENESIS1,GENESIS2,GENESIS3,GENESIS4,SHAPE.AREA,SHAPE.LEN
63,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.00033504634536307205,0.0848643750597999
61,Kbs,Cretaceous,Lower to Upper Cretaceous,"Belle Fourche,Mowry, Newcastle, Skull Cr", ,245,"light,medium to dk gray",silty to sandy shale,shale,fine-medium grained sandstone,shale,marine offshore,marine offshore,marine shoreline and offshore,marine offshore,0.402789128741403,6.29168253107744
55,Tc,Tertiary,Paleocene,Cannonball Formation, ,150,olive brown,"sand, shale, sandstone", , , ,"marine shoreline, offshore", , , ,0.00207904303847078,0.315502524261157
112,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.00394155326583232,0.261575412395663
54,Tm,Tertiary,Upper and Middle Tertiary,"Tertiary, Undivided", ,120, ,"sandstone or limestone, butte caprock", , , ,fluvial or lacustrine, , , ,0.00101732918027507,0.14728510307044101
3,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, sandstone", , , ,marine shoreline and offshore, , , ,1.78467364301936,29.5616980301129
84,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.00280605420621672,0.336006770053157
229,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00013165439301140801,0.048386076838663104
194,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00028710062885036803,0.0770197932284441
192,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,8.062830343839999e-5,0.0410260766886796
224,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000176337527917106,0.0549964186931424
204,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000195200737817696,0.0584218839779937
163,Tw,Tertiary,Oligocene,Brule and Chadron,White River,80,pinkish; light colorer,"siltstone, clay, and sand",sand with quartzite and porphyry pebbles,overlain by dark clay, ,river and lake,river and lake, , ,0.000692362264885952,0.121933455630922
174,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt and clay","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00020085846370729199,0.0580777827273582
78,Tc,Tertiary,Paleocene,Cannonball Formation, ,150,olive brown,"sand, shale, sandstone", , , ,marine shoreline and offshore, , , ,0.00865416944466269,0.39650833630104904
177,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, and cla","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00023720338355732,0.0624660177230159
120,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.00124207553836656,0.20041536223050602
103,Tb,Tertiary,Paleocene,Bullion Creek Formation, ,200,yellowish brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.00011323346695129601,0.0466632357555743
5,Kn,Cretaceous,Upper Cretaceous,Niobrara Formation, ,75,light brown-dark gray,calcareous shale, , , ,marine offshore, , , ,0.478335561003017,10.2340908476253
93,Kbs,Cretaceous,Lower to Upper Cretaceous,"Belle Fourche,Mowry, Newcastle, Skull Cr", ,245,"light, medium, to dk gray",silty to sandy shale,shale,fine-medium grained sandstone,shale,marine offshore,marine offshore,marine shoreline and offshore,marine offshore,0.0136082925688428,0.5338122619566891
144,Kp,Cretaceous,Upper Cretaceous,Pierre Formation, ,700,dark gray,shale, , , ,marine offshore, , , ,0.0124079850756769,0.590359458187154
